Attendance,QuizAverage,AssignmentAverage,MoodleActivity,PreviousAverage,Risk Level
80,49,38,55,55,2
54,52,48,89,45,2
77,89,39,23,45,2
53,64,99,97,41,1
75,60,88,48,68,1
77,70,35,40,84,1
67,78,70,39,53,1
88,78,48,31,64,1
46,80,79,97,56,1
91,40,93,88,47,1
99,83,45,90,58,1
93,81,59,28,42,1
82,64,72,30,94,1
54,47,83,55,69,1
80,81,55,67,62,1
53,69,44,97,80,1
50,66,55,79,64,1
57,63,76,27,54,2
92,39,75,71,57,1
44,62,75,47,81,1
71,85,93,38,56,1
48,66,68,94,67,1
97,86,81,48,48,1
72,98,46,26,95,1
47,54,55,74,78,1
44,84,83,96,69,1
73,67,36,34,83,2
96,69,78,34,58,1
67,55,93,20,86,1
96,68,99,42,72,1
98,48,73,84,78,1
52,54,82,40,74,1
89,35,76,82,41,1
47,81,74,50,43,2
55,45,45,82,92,1
44,51,51,80,100,1
75,56,68,87,95,1
78,89,62,89,88,0
86,60,74,71,82,1
81,82,91,86,68,0
47,66,63,28,61,2
41,64,63,20,44,2
85,42,64,28,97,1
42,77,44,85,55,1
57,97,62,89,48,1
86,95,66,80,91,0
66,59,47,32,82,2
67,80,89,72,69,1
95,41,47,27,65,2
86,78,48,51,52,1
52,92,52,74,51,1
57,94,66,29,68,1
91,47,41,89,93,1
40,46,65,41,66,2
71,96,62,71,97,1
43,56,83,20,64,2
56,93,71,74,84,1
86,97,54,44,58,1
53,42,42,60,43,2
43,96,99,87,50,1
43,100,45,43,44,2
78,43,65,71,47,1
100,66,40,99,45,1
66,75,68,46,82,1
85,75,65,53,65,1
48,73,93,60,99,1
88,44,36,78,79,1
76,47,44,88,53,1
72,68,51,64,96,1
44,66,82,56,50,2
68,73,36,90,59,1
99,48,52,53,47,2
96,48,54,54,58,1
78,61,78,46,83,1
80,68,99,82,56,1
97,41,46,74,93,1
57,40,35,62,89,2
48,68,55,76,75,1
85,89,36,34,44,2
100,54,39,67,77,1
75,53,90,36,42,2
59,81,40,65,53,2
83,66,48,65,89,1
75,87,54,50,95,1
50,57,87,23,51,2
87,77,87,51,57,1
50,48,83,24,94,2
70,63,60,78,62,1
59,64,63,23,82,2
52,86,77,55,95,1
44,70,79,85,65,1
83,77,38,34,96,1
56,57,68,24,46,2
78,90,79,60,67,1
78,100,49,69,97,1
76,59,67,25,85,1
67,35,60,66,67,2
44,77,75,35,86,1
97,73,99,59,82,0
66,76,86,57,75,1
