StudentID,Attendance,QuizAverage,AssignmentAverage,MoodleActivity,PreviousAverage,Risk
S001,80,49,38,55,55,High
S002,54,52,48,89,45,High
S003,77,89,39,23,45,High
S004,53,64,99,97,41,Moderate
S005,75,60,88,48,68,Moderate
S006,77,70,35,40,84,Moderate
S007,67,78,70,39,53,Moderate
S008,88,78,48,31,64,Moderate
S009,46,80,79,97,56,Moderate
S010,91,40,93,88,47,Moderate
S011,99,83,45,90,58,Moderate
S012,93,81,59,28,42,Moderate
S013,82,64,72,30,94,Moderate
S014,54,47,83,55,69,Moderate
S015,80,81,55,67,62,Moderate
S016,53,69,44,97,80,Moderate
S017,50,66,55,79,64,Moderate
S018,57,63,76,27,54,High
S019,92,39,75,71,57,Moderate
S020,44,62,75,47,81,Moderate
S021,71,85,93,38,56,Moderate
S022,48,66,68,94,67,Moderate
S023,97,86,81,48,48,Moderate
S024,72,98,46,26,95,Moderate
S025,47,54,55,74,78,Moderate
S026,44,84,83,96,69,Moderate
S027,73,67,36,34,83,High
S028,96,69,78,34,58,Moderate
S029,67,55,93,20,86,Moderate
S030,96,68,99,42,72,Moderate
S031,98,48,73,84,78,Moderate
S032,52,54,82,40,74,Moderate
S033,89,35,76,82,41,Moderate
S034,47,81,74,50,43,High
S035,55,45,45,82,92,Moderate
S036,44,51,51,80,100,Moderate
S037,75,56,68,87,95,Moderate
S038,78,89,62,89,88,Low
S039,86,60,74,71,82,Moderate
S040,81,82,91,86,68,Low
S041,47,66,63,28,61,High
S042,41,64,63,20,44,High
S043,85,42,64,28,97,Moderate
S044,42,77,44,85,55,Moderate
S045,57,97,62,89,48,Moderate
S046,86,95,66,80,91,Low
S047,66,59,47,32,82,High
S048,67,80,89,72,69,Moderate
S049,95,41,47,27,65,High
S050,86,78,48,51,52,Moderate
S051,52,92,52,74,51,Moderate
S052,57,94,66,29,68,Moderate
S053,91,47,41,89,93,Moderate
S054,40,46,65,41,66,High
S055,71,96,62,71,97,Moderate
S056,43,56,83,20,64,High
S057,56,93,71,74,84,Moderate
S058,86,97,54,44,58,Moderate
S059,53,42,42,60,43,High
S060,43,96,99,87,50,Moderate
S061,43,100,45,43,44,High
S062,78,43,65,71,47,Moderate
S063,100,66,40,99,45,Moderate
S064,66,75,68,46,82,Moderate
S065,85,75,65,53,65,Moderate
S066,48,73,93,60,99,Moderate
S067,88,44,36,78,79,Moderate
S068,76,47,44,88,53,Moderate
S069,72,68,51,64,96,Moderate
S070,44,66,82,56,50,High
S071,68,73,36,90,59,Moderate
S072,99,48,52,53,47,High
S073,96,48,54,54,58,Moderate
S074,78,61,78,46,83,Moderate
S075,80,68,99,82,56,Moderate
S076,97,41,46,74,93,Moderate
S077,57,40,35,62,89,High
S078,48,68,55,76,75,Moderate
S079,85,89,36,34,44,High
S080,100,54,39,67,77,Moderate
S081,75,53,90,36,42,High
S082,59,81,40,65,53,High
S083,83,66,48,65,89,Moderate
S084,75,87,54,50,95,Moderate
S085,50,57,87,23,51,High
S086,87,77,87,51,57,Moderate
S087,50,48,83,24,94,High
S088,70,63,60,78,62,Moderate
S089,59,64,63,23,82,High
S090,52,86,77,55,95,Moderate
S091,44,70,79,85,65,Moderate
S092,83,77,38,34,96,Moderate
S093,56,57,68,24,46,High
S094,78,90,79,60,67,Moderate
S095,78,100,49,69,97,Moderate
S096,76,59,67,25,85,Moderate
S097,67,35,60,66,67,High
S098,44,77,75,35,86,Moderate
S099,97,73,99,59,82,Low
S100,66,76,86,57,75,Moderate
